dataset,scope,roi_id,patient_id,slide_id,kind,path,width,height,requested_mpp,bounds_base_pixels,metadata_commit,license,source_url,sha256,bytes,acquired_at,checksum_kind
BCSS,acquisition_smoke_only,TCGA-A1-A0SK-DX1,TCGA-A1-A0SK,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297.svs,image,data/raw/BCSS/smoke_v1/images/TCGA-A1-A0SK-DX1.png,1018,740,1.0,"{""xmax"": 49789, ""xmin"": 45749, ""ymax"": 27991, ""ymin"": 25055}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://demo.kitware.com/histomicstk/api/v1/item/5bbdeed1e629140048d01bcb/tiles/region?left=45749&right=49789&top=25055&bottom=27991&mm_x=0.001&mm_y=0.001&encoding=PNG,d8822f589b59266cab322cc1d3aef13ed60ebc90284e645cfbed4f2a291e4518,2156026,2026-09-18T16:21:51.328190+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A1-A0SK-DX1,TCGA-A1-A0SK,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297.svs,mask,data/raw/BCSS/smoke_v1/masks_native/TCGA-A1-A0SK-DX1.png,4040,2936,,"{""xmax"": 49789, ""xmin"": 45749, ""ymax"": 27991, ""ymin"": 25055}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://ndownloader.figshare.com/files/13243676,2577897e108e764529ec1c37ad73bbfc2697119eecfde552ad7e47e57fb06ce9,141867,2026-09-18T16:22:02.997745+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A1-A0SP-DX1,TCGA-A1-A0SP,TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs,image,data/raw/BCSS/smoke_v1/images/TCGA-A1-A0SP-DX1.png,1451,1028,1.0,"{""xmax"": 12556, ""xmin"": 6798, ""ymax"": 57797, ""ymin"": 53719}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://demo.kitware.com/histomicstk/api/v1/item/5bbdee5be629140048d01afd/tiles/region?left=6798&right=12556&top=53719&bottom=57797&mm_x=0.001&mm_y=0.001&encoding=PNG,9e6d466d9053fead6511e8acc6ed3677c091ef235f7113fc026d03f7751c6618,4077917,2026-09-18T16:22:32.387637+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A1-A0SP-DX1,TCGA-A1-A0SP,TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs,mask,data/raw/BCSS/smoke_v1/masks_native/TCGA-A1-A0SP-DX1.png,5758,4078,,"{""xmax"": 12556, ""xmin"": 6798, ""ymax"": 57797, ""ymin"": 53719}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://ndownloader.figshare.com/files/13243679,47150e10bf7f9f26ab2d532b875f9fb01e2b44304a362647349b0ae3bb3b3f92,130165,2026-09-18T16:22:33.917011+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A2-A04P-DX1,TCGA-A2-A04P,TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71.svs,image,data/raw/BCSS/smoke_v1/images/TCGA-A2-A04P-DX1.png,1138,875,1.0,"{""xmax"": 108790, ""xmin"": 104246, ""ymax"": 52013, ""ymin"": 48517}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://demo.kitware.com/histomicstk/api/v1/item/5bbdee95e629140048d01b63/tiles/region?left=104246&right=108790&top=48517&bottom=52013&mm_x=0.001&mm_y=0.001&encoding=PNG,5e929189ee74fe58a50e771a5beabb07cc2e8c740501a005f87b570075c24e7d,2870157,2026-09-18T23:20:47.937658+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A2-A04P-DX1,TCGA-A2-A04P,TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71.svs,mask,data/raw/BCSS/smoke_v1/masks_native/TCGA-A2-A04P-DX1.png,4544,3496,,"{""xmax"": 108790, ""xmin"": 104246, ""ymax"": 52013, ""ymin"": 48517}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://ndownloader.figshare.com/files/13243727,8d45c5832cea1433a363d0edcff08c2755f5a274644636b99e158a19d129a989,118219,2026-09-18T23:20:50.647513+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A2-A04Q-DX1,TCGA-A2-A04Q,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4.svs,image,data/raw/BCSS/smoke_v1/images/TCGA-A2-A04Q-DX1.png,545,544,1.0,"{""xmax"": 23044, ""xmin"": 20868, ""ymax"": 19976, ""ymin"": 17804}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://demo.kitware.com/histomicstk/api/v1/item/5bbdeed2e629140048d01bcd/tiles/region?left=20868&right=23044&top=17804&bottom=19976&mm_x=0.001&mm_y=0.001&encoding=PNG,8d338af0b70d992a026b8551e8c76a2e23f706c0cc460e11ba7d92f02114f34c,876282,2026-09-18T23:20:55.801765+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A2-A04Q-DX1,TCGA-A2-A04Q,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4.svs,mask,data/raw/BCSS/smoke_v1/masks_native/TCGA-A2-A04Q-DX1.png,2176,2172,,"{""xmax"": 23044, ""xmin"": 20868, ""ymax"": 19976, ""ymin"": 17804}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://ndownloader.figshare.com/files/13243730,cd003371160187d62a946c83716b4867b888fa08ea2cb68e12d4d25ec62f4f87,50831,2026-09-18T23:20:56.997779+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A2-A04T-DX1,TCGA-A2-A04T,TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E.svs,image,data/raw/BCSS/smoke_v1/images/TCGA-A2-A04T-DX1.png,1882,950,1.0,"{""xmax"": 79661, ""xmin"": 72145, ""ymax"": 42874, ""ymin"": 39078}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://demo.kitware.com/histomicstk/api/v1/item/5bbdeee0e629140048d01be5/tiles/region?left=72145&right=79661&top=39078&bottom=42874&mm_x=0.001&mm_y=0.001&encoding=PNG,c5172b27b9012afacb03144402593d9bc44b1e71939506bb5ec5d56df007761f,5064725,2026-09-18T23:21:16.290088+00:00,locally_computed_not_provider_digest
BCSS,acquisition_smoke_only,TCGA-A2-A04T-DX1,TCGA-A2-A04T,TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E.svs,mask,data/raw/BCSS/smoke_v1/masks_native/TCGA-A2-A04T-DX1.png,7516,3796,,"{""xmax"": 79661, ""xmin"": 72145, ""ymax"": 42874, ""ymin"": 39078}",3c49d554497dd896cd02ffe382503ef4ce28b1c1,CC0-1.0,https://ndownloader.figshare.com/files/13243733,77cbc322faf17f05f5ad48b798ffc7659189b69df9e0a7a6ff304598ed40a354,171279,2026-09-18T23:21:17.768921+00:00,locally_computed_not_provider_digest
