patient,seed,fraction,method,repeat,predicted_class_drop
101,11,0.05,gnnexplainer,-1,0.020439976826310158
101,11,0.05,random,0,0.00718868151307106
101,11,0.05,random,1,-0.0015859650447964668
101,11,0.05,random,2,0.01450435072183609
101,11,0.05,random,3,0.0016665533185005188
101,11,0.05,random,4,0.004625266417860985
101,11,0.05,random,5,0.01155807450413704
101,11,0.05,random,6,0.010692138224840164
101,11,0.05,random,7,0.01071489229798317
101,11,0.05,random,8,0.00905921682715416
101,11,0.05,random,9,-0.002214827574789524
101,11,0.05,random,10,0.002971947193145752
101,11,0.05,random,11,0.010474953800439835
101,11,0.05,random,12,0.0019290652126073837
101,11,0.05,random,13,0.009167075157165527
101,11,0.05,random,14,0.0034241918474435806
101,11,0.05,random,15,0.008998874574899673
101,11,0.05,random,16,0.008939240127801895
101,11,0.05,random,17,0.004052290692925453
101,11,0.05,random,18,0.004743039608001709
101,11,0.05,random,19,0.0025647860020399094
101,11,0.1,gnnexplainer,-1,0.05408661626279354
101,11,0.1,random,0,0.0033461563289165497
101,11,0.1,random,1,0.004989515990018845
101,11,0.1,random,2,0.006230121478438377
101,11,0.1,random,3,0.01239735633134842
101,11,0.1,random,4,0.0037311241030693054
101,11,0.1,random,5,0.00556853786110878
101,11,0.1,random,6,0.01759267784655094
101,11,0.1,random,7,0.008830977603793144
101,11,0.1,random,8,0.010841412469744682
101,11,0.1,random,9,0.003945782780647278
101,11,0.1,random,10,0.016411850228905678
101,11,0.1,random,11,0.0029560141265392303
101,11,0.1,random,12,0.011166803538799286
101,11,0.1,random,13,0.0066842567175626755
101,11,0.1,random,14,0.011871807277202606
101,11,0.1,random,15,0.00494791567325592
101,11,0.1,random,16,-0.0021232720464468002
101,11,0.1,random,17,0.010426245629787445
101,11,0.1,random,18,0.01580549217760563
101,11,0.1,random,19,0.008010681718587875
101,11,0.2,gnnexplainer,-1,0.0926972534507513
101,11,0.2,random,0,0.027678215876221657
101,11,0.2,random,1,0.030838722363114357
101,11,0.2,random,2,0.024133319035172462
101,11,0.2,random,3,0.008915312588214874
101,11,0.2,random,4,0.015938984230160713
101,11,0.2,random,5,0.018398752436041832
101,11,0.2,random,6,0.013166084885597229
101,11,0.2,random,7,0.022096356377005577
101,11,0.2,random,8,0.02542467601597309
101,11,0.2,random,9,0.013070657849311829
101,11,0.2,random,10,0.02915135957300663
101,11,0.2,random,11,0.02217426709830761
101,11,0.2,random,12,0.023921387270092964
101,11,0.2,random,13,0.029031584039330482
101,11,0.2,random,14,0.02964683808386326
101,11,0.2,random,15,0.012420617043972015
101,11,0.2,random,16,0.004111466929316521
101,11,0.2,random,17,0.009286938235163689
101,11,0.2,random,18,0.026765229180455208
101,11,0.2,random,19,0.011885154992341995
101,23,0.05,gnnexplainer,-1,0.021337611600756645
101,23,0.05,random,0,0.007856575772166252
101,23,0.05,random,1,0.010282251983880997
101,23,0.05,random,2,0.0032217931002378464
101,23,0.05,random,3,0.007362775504589081
101,23,0.05,random,4,0.003797275945544243
101,23,0.05,random,5,0.0037361569702625275
101,23,0.05,random,6,0.005491344258189201
101,23,0.05,random,7,0.0009162724018096924
101,23,0.05,random,8,0.0018936879932880402
101,23,0.05,random,9,0.004179675132036209
101,23,0.05,random,10,0.003667552024126053
101,23,0.05,random,11,0.0022095870226621628
101,23,0.05,random,12,0.004872255027294159
101,23,0.05,random,13,0.003259662538766861
101,23,0.05,random,14,0.014437716454267502
101,23,0.05,random,15,0.0041884928941726685
101,23,0.05,random,16,0.006422286853194237
101,23,0.05,random,17,0.012679381296038628
101,23,0.05,random,18,0.005324710160493851
101,23,0.05,random,19,0.006004784256219864
101,23,0.1,gnnexplainer,-1,0.05250035040080547
101,23,0.1,random,0,0.0162325669080019
101,23,0.1,random,1,0.0153421051800251
101,23,0.1,random,2,0.007667055353522301
101,23,0.1,random,3,0.012743405997753143
101,23,0.1,random,4,0.01092582754790783
101,23,0.1,random,5,0.009331006556749344
101,23,0.1,random,6,0.0098244808614254
101,23,0.1,random,7,0.004113499075174332
101,23,0.1,random,8,0.006777895614504814
101,23,0.1,random,9,0.009036077186465263
101,23,0.1,random,10,0.004713702946901321
101,23,0.1,random,11,0.005410641431808472
101,23,0.1,random,12,0.002162432298064232
101,23,0.1,random,13,0.005064802244305611
101,23,0.1,random,14,0.019823936745524406
101,23,0.1,random,15,0.02246771939098835
101,23,0.1,random,16,0.014555906876921654
101,23,0.1,random,17,0.003645922988653183
101,23,0.1,random,18,0.014768583700060844
101,23,0.1,random,19,0.011879345402121544
101,23,0.2,gnnexplainer,-1,0.07711411826312542
101,23,0.2,random,0,0.02221536450088024
101,23,0.2,random,1,0.014399407431483269
101,23,0.2,random,2,0.02265542931854725
101,23,0.2,random,3,0.0241438839584589
101,23,0.2,random,4,0.015636662021279335
101,23,0.2,random,5,0.024299347773194313
101,23,0.2,random,6,0.0035576820373535156
101,23,0.2,random,7,0.01897370256483555
101,23,0.2,random,8,0.022017480805516243
101,23,0.2,random,9,0.00617816299200058
101,23,0.2,random,10,0.021570401266217232
101,23,0.2,random,11,0.019457513466477394
101,23,0.2,random,12,0.03509531728923321
101,23,0.2,random,13,0.0162427369505167
101,23,0.2,random,14,0.020452825352549553
101,23,0.2,random,15,0.013347558677196503
101,23,0.2,random,16,0.017356114462018013
101,23,0.2,random,17,0.035047950223088264
101,23,0.2,random,18,0.006934676319360733
101,23,0.2,random,19,0.03715708293020725
