patient,cluster,nodes
101,0,62
101,1,0
101,2,0
101,3,0
101,4,2
102,0,53
102,1,0
102,2,3
102,3,0
102,4,8
106,0,49
106,1,0
106,2,14
106,3,0
106,4,1
118,0,6
118,1,19
118,2,0
118,3,0
118,4,39
120,0,23
120,1,0
120,2,11
120,3,0
120,4,30
124,0,20
124,1,0
124,2,40
124,3,4
124,4,0
132,0,64
132,1,0
132,2,0
132,3,0
132,4,0
144,0,0
144,1,0
144,2,39
144,3,6
144,4,19
151,0,2
151,1,4
151,2,44
151,3,12
151,4,2
156,0,5
156,1,0
156,2,42
156,3,3
156,4,14
162,0,0
162,1,50
162,2,0
162,3,0
162,4,14
178,0,0
178,1,5
178,2,0
178,3,0
178,4,59
179,0,0
179,1,15
179,2,0
179,3,0
179,4,49
22,0,38
22,1,0
22,2,7
22,3,0
22,4,19
33,0,15
33,1,4
33,2,44
33,3,1
33,4,0
54,0,61
54,1,0
54,2,0
54,3,0
54,4,3
56,0,55
56,1,0
56,2,5
56,3,0
56,4,4
58,0,58
58,1,6
58,2,0
58,3,0
58,4,0
59,0,35
59,1,22
59,2,1
59,3,0
59,4,6
7,0,0
7,1,0
7,2,43
7,3,18
7,4,3
87,0,58
87,1,0
87,2,0
87,3,0
87,4,6
9,0,41
9,1,0
9,2,6
9,3,0
9,4,17
