patient_id,nodes,undirected_edges,isolated_nodes,crop_width,crop_height,coordinate_units,segmentation_validated_on_BRACS
101,15,34,0,142,140,pixels,False
102,30,57,1,512,512,pixels,False
104,98,128,6,512,512,pixels,False
105,159,308,1,512,512,pixels,False
106,102,189,3,512,512,pixels,False
109,130,325,4,512,452,pixels,False
11,193,475,1,512,512,pixels,False
111,19,47,1,203,179,pixels,False
114,377,1654,1,512,512,pixels,False
118,36,26,7,512,512,pixels,False
12,114,222,3,512,512,pixels,False
120,86,151,13,512,512,pixels,False
121,221,669,0,512,512,pixels,False
123,155,407,3,512,512,pixels,False
124,125,257,5,512,512,pixels,False
125,346,1438,1,512,512,pixels,False
132,91,143,3,512,512,pixels,False
14,94,124,7,512,512,pixels,False
141,200,575,3,512,512,pixels,False
142,91,132,12,512,512,pixels,False
143,87,90,8,512,512,pixels,False
144,57,50,6,512,512,pixels,False
150,79,91,15,512,512,pixels,False
151,126,218,2,512,512,pixels,False
154,31,34,2,512,512,pixels,False
155,66,92,12,512,512,pixels,False
156,88,99,8,512,512,pixels,False
157,39,16,14,512,512,pixels,False
162,110,147,7,512,512,pixels,False
173,64,82,8,512,512,pixels,False
174,154,326,3,512,512,pixels,False
178,83,97,7,512,512,pixels,False
179,36,24,9,512,512,pixels,False
18,122,190,3,512,512,pixels,False
181,42,41,10,512,512,pixels,False
184,130,249,2,512,512,pixels,False
187,116,235,4,512,512,pixels,False
188,43,23,16,512,512,pixels,False
19,64,46,9,512,512,pixels,False
22,172,633,0,512,512,pixels,False
24,140,337,5,512,512,pixels,False
3,129,295,3,512,512,pixels,False
31,134,282,3,512,512,pixels,False
33,161,324,5,512,512,pixels,False
37,156,339,2,512,512,pixels,False
44,140,277,1,512,512,pixels,False
47,198,641,4,512,512,pixels,False
48,133,272,5,512,512,pixels,False
51,275,1088,3,512,512,pixels,False
52,128,189,2,512,512,pixels,False
54,70,98,5,512,512,pixels,False
56,177,424,4,512,512,pixels,False
58,105,179,12,512,512,pixels,False
59,175,513,3,512,512,pixels,False
63,133,261,6,512,512,pixels,False
67,79,117,5,512,512,pixels,False
69,160,376,3,512,512,pixels,False
7,320,1255,0,512,512,pixels,False
70,147,356,1,512,512,pixels,False
71,50,53,6,512,512,pixels,False
84,161,335,3,512,512,pixels,False
87,99,250,2,476,509,pixels,False
9,89,92,8,512,512,pixels,False
92,189,580,1,512,512,pixels,False
97,215,624,2,512,512,pixels,False
