architecture,patient,factor,repeat,probability_IC_change
GCN,101,0.95,0,-0.0014792680740356445
GCN,101,0.95,1,0.0004947483539581299
GCN,101,0.95,2,-0.0002550482749938965
GCN,101,0.95,3,0.0067389607429504395
GCN,101,0.95,4,0.004266530275344849
GCN,101,0.95,5,0.0008428692817687988
GCN,101,0.95,6,-0.006013929843902588
GCN,101,0.95,7,-0.004762500524520874
GCN,101,0.95,8,0.0029606521129608154
GCN,101,0.95,9,-0.004695922136306763
GCN,101,0.95,10,-0.0019095838069915771
GCN,101,0.95,11,-0.003974854946136475
GCN,101,0.95,12,0.0021353065967559814
GCN,101,0.95,13,0.006443798542022705
GCN,101,0.95,14,0.004235297441482544
GCN,101,0.95,15,0.0013343989849090576
GCN,101,0.95,16,0.003368765115737915
GCN,101,0.95,17,-0.004489272832870483
GCN,101,0.95,18,0.0015836060047149658
GCN,101,0.95,19,0.0021528303623199463
GCN,101,1.05,0,0.009753376245498657
GCN,101,1.05,1,-0.0019842982292175293
GCN,101,1.05,2,-0.0028728842735290527
GCN,101,1.05,3,-0.003595888614654541
GCN,101,1.05,4,0.003971308469772339
GCN,101,1.05,5,0.004181593656539917
GCN,101,1.05,6,0.006636559963226318
GCN,101,1.05,7,0.007369130849838257
GCN,101,1.05,8,-0.0014691352844238281
GCN,101,1.05,9,0.0019566714763641357
GCN,101,1.05,10,0.0066117942333221436
GCN,101,1.05,11,-1.1533498764038086e-05
GCN,101,1.05,12,0.006452769041061401
GCN,101,1.05,13,0.00270649790763855
GCN,101,1.05,14,-0.00024583935737609863
GCN,101,1.05,15,-0.0015858709812164307
GCN,101,1.05,16,0.0035656988620758057
GCN,101,1.05,17,-0.003551393747329712
GCN,101,1.05,18,-0.006668031215667725
GCN,101,1.05,19,-0.00177001953125
GCN,102,0.95,0,0.014948368072509766
GCN,102,0.95,1,-0.0021424293518066406
GCN,102,0.95,2,-0.0007733702659606934
GCN,102,0.95,3,0.0013878941535949707
GCN,102,0.95,4,0.017772257328033447
GCN,102,0.95,5,-0.0028621554374694824
GCN,102,0.95,6,0.016493916511535645
GCN,102,0.95,7,-0.0036965012550354004
GCN,102,0.95,8,0.021193861961364746
GCN,102,0.95,9,0.013159692287445068
GCN,102,0.95,10,-0.016975820064544678
GCN,102,0.95,11,0.001892387866973877
GCN,102,0.95,12,-0.016853630542755127
GCN,102,0.95,13,5.960464477539062e-07
GCN,102,0.95,14,0.011139392852783203
GCN,102,0.95,15,-0.00937587022781372
GCN,102,0.95,16,-0.013331353664398193
GCN,102,0.95,17,0.012054741382598877
GCN,102,0.95,18,-0.024981796741485596
GCN,102,0.95,19,-0.0126456618309021
GCN,102,1.05,0,-0.030555307865142822
GCN,102,1.05,1,0.0023342370986938477
GCN,102,1.05,2,0.014208078384399414
GCN,102,1.05,3,0.0219651460647583
GCN,102,1.05,4,-0.00830918550491333
GCN,102,1.05,5,0.010210871696472168
GCN,102,1.05,6,-0.015688300132751465
GCN,102,1.05,7,-0.011961162090301514
GCN,102,1.05,8,0.00026738643646240234
GCN,102,1.05,9,0.020265281200408936
GCN,102,1.05,10,0.001384437084197998
GCN,102,1.05,11,-0.0021269917488098145
GCN,102,1.05,12,0.03003484010696411
GCN,102,1.05,13,0.010414063930511475
GCN,102,1.05,14,-0.006374061107635498
GCN,102,1.05,15,-0.014074325561523438
GCN,102,1.05,16,0.007680237293243408
GCN,102,1.05,17,-0.01016920804977417
GCN,102,1.05,18,0.01868206262588501
GCN,102,1.05,19,-0.03248542547225952
GCN,106,0.95,0,-0.015604496002197266
GCN,106,0.95,1,-0.007546901702880859
GCN,106,0.95,2,0.007777988910675049
