architecture,patient,seed,fraction,method,repeat,predicted_class_probability_drop
GCN,101,11,0.05,gnnexplainer,-1,-0.001638174057006836
GCN,101,11,0.05,random,0,0.003782302141189575
GCN,101,11,0.05,random,1,-0.0063957273960113525
GCN,101,11,0.05,random,2,0.009376853704452515
GCN,101,11,0.05,random,3,0.005777269601821899
GCN,101,11,0.05,random,4,-0.003178894519805908
GCN,101,11,0.05,random,5,0.005646765232086182
GCN,101,11,0.05,random,6,-0.001638174057006836
GCN,101,11,0.05,random,7,-0.003178894519805908
GCN,101,11,0.05,random,8,0.005777269601821899
GCN,101,11,0.05,random,9,-0.003178894519805908
GCN,101,11,0.05,random,10,0.003782302141189575
GCN,101,11,0.05,random,11,0.004178225994110107
GCN,101,11,0.05,random,12,0.006087005138397217
GCN,101,11,0.05,random,13,0.004904717206954956
GCN,101,11,0.05,random,14,0.006087005138397217
GCN,101,11,0.05,random,15,-0.0063957273960113525
GCN,101,11,0.05,random,16,0.003782302141189575
GCN,101,11,0.05,random,17,0.005777269601821899
GCN,101,11,0.05,random,18,-0.001638174057006836
GCN,101,11,0.05,random,19,0.0021154582500457764
GCN,101,11,0.1,gnnexplainer,-1,0.00451543927192688
GCN,101,11,0.1,random,0,-0.005189359188079834
GCN,101,11,0.1,random,1,0.006002157926559448
GCN,101,11,0.1,random,2,0.00931742787361145
GCN,101,11,0.1,random,3,0.011888176202774048
GCN,101,11,0.1,random,4,0.009732991456985474
GCN,101,11,0.1,random,5,-0.004181593656539917
GCN,101,11,0.1,random,6,0.004831850528717041
GCN,101,11,0.1,random,7,0.0037465691566467285
GCN,101,11,0.1,random,8,0.01852777600288391
GCN,101,11,0.1,random,9,0.013403475284576416
GCN,101,11,0.1,random,10,0.0017694532871246338
GCN,101,11,0.1,random,11,-0.0008527934551239014
GCN,101,11,0.1,random,12,0.005806028842926025
GCN,101,11,0.1,random,13,0.003285825252532959
GCN,101,11,0.1,random,14,0.00650373101234436
GCN,101,11,0.1,random,15,0.011138349771499634
GCN,101,11,0.1,random,16,-0.010220319032669067
GCN,101,11,0.1,random,17,0.009972721338272095
GCN,101,11,0.1,random,18,0.008130490779876709
GCN,101,11,0.1,random,19,0.01322886347770691
GCN,101,11,0.2,gnnexplainer,-1,0.013645708560943604
GCN,101,11,0.2,random,0,0.006732523441314697
GCN,101,11,0.2,random,1,0.017410725355148315
GCN,101,11,0.2,random,2,0.010679543018341064
GCN,101,11,0.2,random,3,0.0040474534034729
GCN,101,11,0.2,random,4,0.011064231395721436
GCN,101,11,0.2,random,5,0.007123053073883057
GCN,101,11,0.2,random,6,0.020727843046188354
GCN,101,11,0.2,random,7,0.010842055082321167
GCN,101,11,0.2,random,8,0.011737912893295288
GCN,101,11,0.2,random,9,0.003571063280105591
GCN,101,11,0.2,random,10,0.003236144781112671
GCN,101,11,0.2,random,11,0.013881891965866089
GCN,101,11,0.2,random,12,0.014603465795516968
GCN,101,11,0.2,random,13,0.009830266237258911
GCN,101,11,0.2,random,14,0.01159486174583435
GCN,101,11,0.2,random,15,0.027266323566436768
GCN,101,11,0.2,random,16,0.015052944421768188
GCN,101,11,0.2,random,17,0.0028245151042938232
GCN,101,11,0.2,random,18,0.009870082139968872
GCN,101,11,0.2,random,19,0.014454513788223267
GCN,101,23,0.05,gnnexplainer,-1,0.005646765232086182
GCN,101,23,0.05,random,0,0.0021154582500457764
GCN,101,23,0.05,random,1,0.004904717206954956
GCN,101,23,0.05,random,2,-0.0063957273960113525
GCN,101,23,0.05,random,3,-0.0063957273960113525
GCN,101,23,0.05,random,4,0.012073695659637451
GCN,101,23,0.05,random,5,0.0011411309242248535
GCN,101,23,0.05,random,6,0.012073695659637451
GCN,101,23,0.05,random,7,0.004178225994110107
GCN,101,23,0.05,random,8,0.004417240619659424
GCN,101,23,0.05,random,9,0.005777269601821899
GCN,101,23,0.05,random,10,-0.001638174057006836
GCN,101,23,0.05,random,11,0.005777269601821899
GCN,101,23,0.05,random,12,-0.001638174057006836
GCN,101,23,0.05,random,13,0.004417240619659424
GCN,101,23,0.05,random,14,0.004178225994110107
GCN,101,23,0.05,random,15,0.004904717206954956
GCN,101,23,0.05,random,16,0.0011411309242248535
GCN,101,23,0.05,random,17,0.012073695659637451
GCN,101,23,0.05,random,18,0.004178225994110107
GCN,101,23,0.05,random,19,0.004417240619659424
GCN,101,23,0.1,gnnexplainer,-1,0.010251909494400024
GCN,101,23,0.1,random,0,0.009384721517562866
GCN,101,23,0.1,random,1,0.00260201096534729
GCN,101,23,0.1,random,2,0.0015738308429718018
GCN,101,23,0.1,random,3,0.0027913153171539307
GCN,101,23,0.1,random,4,0.01852777600288391
GCN,101,23,0.1,random,5,0.0010512173175811768
GCN,101,23,0.1,random,6,0.007046610116958618
GCN,101,23,0.1,random,7,0.006874382495880127
GCN,101,23,0.1,random,8,0.010251909494400024
GCN,101,23,0.1,random,9,0.0037465691566467285
GCN,101,23,0.1,random,10,0.01194790005683899
GCN,101,23,0.1,random,11,0.003483593463897705
GCN,101,23,0.1,random,12,0.009347736835479736
GCN,101,23,0.1,random,13,0.006959825754165649
GCN,101,23,0.1,random,14,0.00650373101234436
GCN,101,23,0.1,random,15,0.006397277116775513
GCN,101,23,0.1,random,16,0.006002157926559448
GCN,101,23,0.1,random,17,0.0015738308429718018
GCN,101,23,0.1,random,18,0.006002157926559448
GCN,101,23,0.1,random,19,0.0004852414131164551
GCN,101,23,0.2,gnnexplainer,-1,0.014433711767196655
GCN,101,23,0.2,random,0,0.00041422247886657715
GCN,101,23,0.2,random,1,0.01670852303504944
GCN,101,23,0.2,random,2,0.008494317531585693
GCN,101,23,0.2,random,3,0.005853027105331421
GCN,101,23,0.2,random,4,0.011933714151382446
GCN,101,23,0.2,random,5,0.0026439130306243896
GCN,101,23,0.2,random,6,0.02930125594139099
GCN,101,23,0.2,random,7,0.004810303449630737
GCN,101,23,0.2,random,8,0.010417759418487549
GCN,101,23,0.2,random,9,0.019225865602493286
GCN,101,23,0.2,random,10,0.016741544008255005
GCN,101,23,0.2,random,11,-0.012632757425308228
