patient,cluster,mode,reason
101,1,node_removal,no_target_or_empty_graph
101,1,boundary_removal,no_target_or_empty_graph
101,2,node_removal,no_target_or_empty_graph
101,2,boundary_removal,no_target_or_empty_graph
101,3,node_removal,no_target_or_empty_graph
101,3,boundary_removal,no_target_or_empty_graph
102,1,node_removal,no_target_or_empty_graph
102,1,boundary_removal,no_target_or_empty_graph
102,3,node_removal,no_target_or_empty_graph
102,3,boundary_removal,no_target_or_empty_graph
106,1,node_removal,no_target_or_empty_graph
106,1,boundary_removal,no_target_or_empty_graph
106,3,node_removal,no_target_or_empty_graph
106,3,boundary_removal,no_target_or_empty_graph
118,2,node_removal,no_target_or_empty_graph
118,2,boundary_removal,no_target_or_empty_graph
118,3,node_removal,no_target_or_empty_graph
118,3,boundary_removal,no_target_or_empty_graph
120,1,node_removal,no_target_or_empty_graph
120,1,boundary_removal,no_target_or_empty_graph
120,3,node_removal,no_target_or_empty_graph
120,3,boundary_removal,no_target_or_empty_graph
124,1,node_removal,no_target_or_empty_graph
124,1,boundary_removal,no_target_or_empty_graph
124,4,node_removal,no_target_or_empty_graph
124,4,boundary_removal,no_target_or_empty_graph
132,0,node_removal,no_target_or_empty_graph
132,0,boundary_removal,no_target_or_empty_graph
132,1,node_removal,no_target_or_empty_graph
132,1,boundary_removal,no_target_or_empty_graph
132,2,node_removal,no_target_or_empty_graph
132,2,boundary_removal,no_target_or_empty_graph
132,3,node_removal,no_target_or_empty_graph
132,3,boundary_removal,no_target_or_empty_graph
132,4,node_removal,no_target_or_empty_graph
132,4,boundary_removal,no_target_or_empty_graph
144,0,node_removal,no_target_or_empty_graph
144,0,boundary_removal,no_target_or_empty_graph
144,1,node_removal,no_target_or_empty_graph
144,1,boundary_removal,no_target_or_empty_graph
156,1,node_removal,no_target_or_empty_graph
156,1,boundary_removal,no_target_or_empty_graph
162,0,node_removal,no_target_or_empty_graph
162,0,boundary_removal,no_target_or_empty_graph
162,2,node_removal,no_target_or_empty_graph
162,2,boundary_removal,no_target_or_empty_graph
162,3,node_removal,no_target_or_empty_graph
162,3,boundary_removal,no_target_or_empty_graph
178,0,node_removal,no_target_or_empty_graph
178,0,boundary_removal,no_target_or_empty_graph
178,2,node_removal,no_target_or_empty_graph
178,2,boundary_removal,no_target_or_empty_graph
178,3,node_removal,no_target_or_empty_graph
178,3,boundary_removal,no_target_or_empty_graph
179,0,node_removal,no_target_or_empty_graph
179,0,boundary_removal,no_target_or_empty_graph
179,2,node_removal,no_target_or_empty_graph
179,2,boundary_removal,no_target_or_empty_graph
179,3,node_removal,no_target_or_empty_graph
179,3,boundary_removal,no_target_or_empty_graph
22,1,node_removal,no_target_or_empty_graph
22,1,boundary_removal,no_target_or_empty_graph
22,3,node_removal,no_target_or_empty_graph
22,3,boundary_removal,no_target_or_empty_graph
33,4,node_removal,no_target_or_empty_graph
33,4,boundary_removal,no_target_or_empty_graph
54,1,node_removal,no_target_or_empty_graph
54,1,boundary_removal,no_target_or_empty_graph
54,2,node_removal,no_target_or_empty_graph
54,2,boundary_removal,no_target_or_empty_graph
54,3,node_removal,no_target_or_empty_graph
54,3,boundary_removal,no_target_or_empty_graph
56,1,node_removal,no_target_or_empty_graph
56,1,boundary_removal,no_target_or_empty_graph
56,3,node_removal,no_target_or_empty_graph
56,3,boundary_removal,no_target_or_empty_graph
58,2,node_removal,no_target_or_empty_graph
58,2,boundary_removal,no_target_or_empty_graph
58,3,node_removal,no_target_or_empty_graph
58,3,boundary_removal,no_target_or_empty_graph
58,4,node_removal,no_target_or_empty_graph
58,4,boundary_removal,no_target_or_empty_graph
59,3,node_removal,no_target_or_empty_graph
59,3,boundary_removal,no_target_or_empty_graph
7,0,node_removal,no_target_or_empty_graph
7,0,boundary_removal,no_target_or_empty_graph
7,1,node_removal,no_target_or_empty_graph
7,1,boundary_removal,no_target_or_empty_graph
87,1,node_removal,no_target_or_empty_graph
87,1,boundary_removal,no_target_or_empty_graph
87,2,node_removal,no_target_or_empty_graph
87,2,boundary_removal,no_target_or_empty_graph
87,3,node_removal,no_target_or_empty_graph
87,3,boundary_removal,no_target_or_empty_graph
9,1,node_removal,no_target_or_empty_graph
9,1,boundary_removal,no_target_or_empty_graph
9,3,node_removal,no_target_or_empty_graph
9,3,boundary_removal,no_target_or_empty_graph
