architecture,seed,concept,layer,auc
DeepSets,11,used,0,1.0
DeepSets,11,used,1,1.0
DeepSets,11,used,2,1.0
DeepSets,11,used,3,1.0
DeepSets,11,unused,0,1.0
DeepSets,11,unused,1,1.0
DeepSets,11,unused,2,1.0
DeepSets,11,unused,3,1.0
DeepSets,11,relational,0,0.5
DeepSets,11,relational,1,0.5
DeepSets,11,relational,2,0.5
DeepSets,11,relational,3,0.5
DeepSets,11,irrelevant,0,0.5
DeepSets,11,irrelevant,1,0.5
DeepSets,11,irrelevant,2,0.5
DeepSets,11,irrelevant,3,0.5
DeepSets,23,used,0,1.0
DeepSets,23,used,1,1.0
DeepSets,23,used,2,1.0
DeepSets,23,used,3,1.0
DeepSets,23,unused,0,1.0
DeepSets,23,unused,1,1.0
DeepSets,23,unused,2,1.0
DeepSets,23,unused,3,1.0
DeepSets,23,relational,0,0.5
DeepSets,23,relational,1,0.5
DeepSets,23,relational,2,0.5
DeepSets,23,relational,3,0.5
DeepSets,23,irrelevant,0,0.5
DeepSets,23,irrelevant,1,0.5
DeepSets,23,irrelevant,2,0.5
DeepSets,23,irrelevant,3,0.5
DeepSets,37,used,0,1.0
DeepSets,37,used,1,1.0
DeepSets,37,used,2,1.0
DeepSets,37,used,3,1.0
DeepSets,37,unused,0,1.0
DeepSets,37,unused,1,1.0
DeepSets,37,unused,2,1.0
DeepSets,37,unused,3,1.0
DeepSets,37,relational,0,0.5
DeepSets,37,relational,1,0.5
DeepSets,37,relational,2,0.5
DeepSets,37,relational,3,0.5
DeepSets,37,irrelevant,0,0.5
DeepSets,37,irrelevant,1,0.5
DeepSets,37,irrelevant,2,0.5
DeepSets,37,irrelevant,3,0.5
GCN,11,used,0,1.0
GCN,11,used,1,1.0
GCN,11,used,2,1.0
GCN,11,used,3,1.0
GCN,11,unused,0,1.0
GCN,11,unused,1,1.0
GCN,11,unused,2,1.0
GCN,11,unused,3,1.0
GCN,11,relational,0,0.5
GCN,11,relational,1,1.0
GCN,11,relational,2,1.0
GCN,11,relational,3,1.0
GCN,11,irrelevant,0,0.5
GCN,11,irrelevant,1,0.5
GCN,11,irrelevant,2,0.5
GCN,11,irrelevant,3,0.5
GCN,23,used,0,1.0
GCN,23,used,1,1.0
GCN,23,used,2,1.0
GCN,23,used,3,1.0
GCN,23,unused,0,1.0
GCN,23,unused,1,1.0
GCN,23,unused,2,1.0
GCN,23,unused,3,1.0
GCN,23,relational,0,0.5
GCN,23,relational,1,1.0
GCN,23,relational,2,1.0
GCN,23,relational,3,1.0
GCN,23,irrelevant,0,0.5
GCN,23,irrelevant,1,0.5
GCN,23,irrelevant,2,0.5
GCN,23,irrelevant,3,0.5
GCN,37,used,0,1.0
GCN,37,used,1,1.0
GCN,37,used,2,1.0
GCN,37,used,3,1.0
GCN,37,unused,0,1.0
GCN,37,unused,1,1.0
GCN,37,unused,2,1.0
GCN,37,unused,3,1.0
GCN,37,relational,0,0.5
GCN,37,relational,1,1.0
GCN,37,relational,2,1.0
GCN,37,relational,3,1.0
GCN,37,irrelevant,0,0.5
GCN,37,irrelevant,1,0.5
GCN,37,irrelevant,2,0.5
GCN,37,irrelevant,3,0.5
GraphSAGE,11,used,0,1.0
GraphSAGE,11,used,1,1.0
GraphSAGE,11,used,2,1.0
GraphSAGE,11,used,3,1.0
GraphSAGE,11,unused,0,1.0
GraphSAGE,11,unused,1,1.0
GraphSAGE,11,unused,2,1.0
GraphSAGE,11,unused,3,1.0
GraphSAGE,11,relational,0,0.5
GraphSAGE,11,relational,1,1.0
GraphSAGE,11,relational,2,1.0
GraphSAGE,11,relational,3,1.0
GraphSAGE,11,irrelevant,0,0.5
GraphSAGE,11,irrelevant,1,0.5
GraphSAGE,11,irrelevant,2,0.5
GraphSAGE,11,irrelevant,3,0.5
GraphSAGE,23,used,0,1.0
GraphSAGE,23,used,1,1.0
GraphSAGE,23,used,2,1.0
GraphSAGE,23,used,3,1.0
GraphSAGE,23,unused,0,1.0
GraphSAGE,23,unused,1,1.0
GraphSAGE,23,unused,2,1.0
GraphSAGE,23,unused,3,1.0
GraphSAGE,23,relational,0,0.5
GraphSAGE,23,relational,1,1.0
GraphSAGE,23,relational,2,1.0
GraphSAGE,23,relational,3,1.0
GraphSAGE,23,irrelevant,0,0.5
GraphSAGE,23,irrelevant,1,0.5
GraphSAGE,23,irrelevant,2,0.5
GraphSAGE,23,irrelevant,3,0.5
GraphSAGE,37,used,0,1.0
GraphSAGE,37,used,1,1.0
GraphSAGE,37,used,2,1.0
GraphSAGE,37,used,3,1.0
GraphSAGE,37,unused,0,1.0
GraphSAGE,37,unused,1,1.0
GraphSAGE,37,unused,2,1.0
GraphSAGE,37,unused,3,1.0
GraphSAGE,37,relational,0,0.5
GraphSAGE,37,relational,1,1.0
GraphSAGE,37,relational,2,1.0
GraphSAGE,37,relational,3,1.0
GraphSAGE,37,irrelevant,0,0.5
GraphSAGE,37,irrelevant,1,0.5
GraphSAGE,37,irrelevant,2,0.5
GraphSAGE,37,irrelevant,3,0.5
GATv2,11,used,0,1.0
GATv2,11,used,1,1.0
GATv2,11,used,2,1.0
GATv2,11,used,3,1.0
