patient,split,seed,fraction,count,method,control,signed_change,absolute_change
TCGA-A1-A0SK,development,11,0.05,4,gnnexplainer,-1,-0.004552900791168213,0.004552900791168213
TCGA-A1-A0SK,development,11,0.05,4,random,0,-0.01377415657043457,0.01377415657043457
TCGA-A1-A0SK,development,11,0.05,4,random,1,0.01712074875831604,0.01712074875831604
TCGA-A1-A0SK,development,11,0.05,4,random,2,0.04182097315788269,0.04182097315788269
TCGA-A1-A0SK,development,11,0.05,4,random,3,-0.01716497540473938,0.01716497540473938
TCGA-A1-A0SK,development,11,0.05,4,random,4,-0.022176623344421387,0.022176623344421387
TCGA-A1-A0SK,development,11,0.05,4,random,5,-0.02181282639503479,0.02181282639503479
TCGA-A1-A0SK,development,11,0.05,4,random,6,-0.0012638568878173828,0.0012638568878173828
TCGA-A1-A0SK,development,11,0.05,4,random,7,-0.008481532335281372,0.008481532335281372
TCGA-A1-A0SK,development,11,0.05,4,random,8,0.014562875032424927,0.014562875032424927
TCGA-A1-A0SK,development,11,0.05,4,random,9,-0.0050508975982666016,0.0050508975982666016
TCGA-A1-A0SK,development,11,0.05,4,random,10,0.01855960488319397,0.01855960488319397
TCGA-A1-A0SK,development,11,0.05,4,random,11,-0.007900446653366089,0.007900446653366089
TCGA-A1-A0SK,development,11,0.05,4,random,12,-0.022706210613250732,0.022706210613250732
TCGA-A1-A0SK,development,11,0.05,4,random,13,-0.0124281644821167,0.0124281644821167
TCGA-A1-A0SK,development,11,0.05,4,random,14,-0.0026646554470062256,0.0026646554470062256
TCGA-A1-A0SK,development,11,0.05,4,random,15,0.0018391311168670654,0.0018391311168670654
TCGA-A1-A0SK,development,11,0.05,4,random,16,0.039871007204055786,0.039871007204055786
TCGA-A1-A0SK,development,11,0.05,4,random,17,0.03481563925743103,0.03481563925743103
TCGA-A1-A0SK,development,11,0.05,4,random,18,-0.004321187734603882,0.004321187734603882
TCGA-A1-A0SK,development,11,0.05,4,random,19,-0.014565080404281616,0.014565080404281616
TCGA-A1-A0SK,development,11,0.1,7,gnnexplainer,-1,-0.018003076314926147,0.018003076314926147
TCGA-A1-A0SK,development,11,0.1,7,random,0,-0.005356937646865845,0.005356937646865845
TCGA-A1-A0SK,development,11,0.1,7,random,1,0.01734304428100586,0.01734304428100586
TCGA-A1-A0SK,development,11,0.1,7,random,2,-0.006898999214172363,0.006898999214172363
TCGA-A1-A0SK,development,11,0.1,7,random,3,0.04425188899040222,0.04425188899040222
TCGA-A1-A0SK,development,11,0.1,7,random,4,-0.018375486135482788,0.018375486135482788
TCGA-A1-A0SK,development,11,0.1,7,random,5,0.006348788738250732,0.006348788738250732
TCGA-A1-A0SK,development,11,0.1,7,random,6,0.0022439658641815186,0.0022439658641815186
TCGA-A1-A0SK,development,11,0.1,7,random,7,0.005850017070770264,0.005850017070770264
TCGA-A1-A0SK,development,11,0.1,7,random,8,0.030851095914840698,0.030851095914840698
TCGA-A1-A0SK,development,11,0.1,7,random,9,0.00046324729919433594,0.00046324729919433594
TCGA-A1-A0SK,development,11,0.1,7,random,10,-0.022293001413345337,0.022293001413345337
TCGA-A1-A0SK,development,11,0.1,7,random,11,-0.020918279886245728,0.020918279886245728
TCGA-A1-A0SK,development,11,0.1,7,random,12,-0.008487820625305176,0.008487820625305176
TCGA-A1-A0SK,development,11,0.1,7,random,13,-0.006263256072998047,0.006263256072998047
TCGA-A1-A0SK,development,11,0.1,7,random,14,0.004921257495880127,0.004921257495880127
TCGA-A1-A0SK,development,11,0.1,7,random,15,0.01656857132911682,0.01656857132911682
TCGA-A1-A0SK,development,11,0.1,7,random,16,0.009227991104125977,0.009227991104125977
TCGA-A1-A0SK,development,11,0.1,7,random,17,0.04396197199821472,0.04396197199821472
TCGA-A1-A0SK,development,11,0.1,7,random,18,0.056531280279159546,0.056531280279159546
TCGA-A1-A0SK,development,11,0.1,7,random,19,0.028027623891830444,0.028027623891830444
TCGA-A1-A0SK,development,11,0.2,14,gnnexplainer,-1,-0.055958449840545654,0.055958449840545654
TCGA-A1-A0SK,development,11,0.2,14,random,0,-0.05607402324676514,0.05607402324676514
TCGA-A1-A0SK,development,11,0.2,14,random,1,-0.007624238729476929,0.007624238729476929
TCGA-A1-A0SK,development,11,0.2,14,random,2,0.016206592321395874,0.016206592321395874
TCGA-A1-A0SK,development,11,0.2,14,random,3,0.003936082124710083,0.003936082124710083
TCGA-A1-A0SK,development,11,0.2,14,random,4,-0.010852932929992676,0.010852932929992676
TCGA-A1-A0SK,development,11,0.2,14,random,5,-0.0010935664176940918,0.0010935664176940918
TCGA-A1-A0SK,development,11,0.2,14,random,6,0.01577085256576538,0.01577085256576538
TCGA-A1-A0SK,development,11,0.2,14,random,7,-0.013758152723312378,0.013758152723312378
TCGA-A1-A0SK,development,11,0.2,14,random,8,-0.06759843230247498,0.06759843230247498
TCGA-A1-A0SK,development,11,0.2,14,random,9,0.029388517141342163,0.029388517141342163
TCGA-A1-A0SK,development,11,0.2,14,random,10,0.053251445293426514,0.053251445293426514
TCGA-A1-A0SK,development,11,0.2,14,random,11,-0.05739545822143555,0.05739545822143555
TCGA-A1-A0SK,development,11,0.2,14,random,12,0.0008886754512786865,0.0008886754512786865
TCGA-A1-A0SK,development,11,0.2,14,random,13,0.0662437379360199,0.0662437379360199
TCGA-A1-A0SK,development,11,0.2,14,random,14,0.0053601861000061035,0.0053601861000061035
TCGA-A1-A0SK,development,11,0.2,14,random,15,0.010701537132263184,0.010701537132263184
TCGA-A1-A0SK,development,11,0.2,14,random,16,-0.025313496589660645,0.025313496589660645
TCGA-A1-A0SK,development,11,0.2,14,random,17,-0.005496412515640259,0.005496412515640259
TCGA-A1-A0SK,development,11,0.2,14,random,18,-0.015203356742858887,0.015203356742858887
TCGA-A1-A0SK,development,11,0.2,14,random,19,0.022415220737457275,0.022415220737457275
TCGA-A1-A0SK,development,23,0.05,4,gnnexplainer,-1,-0.009731113910675049,0.009731113910675049
TCGA-A1-A0SK,development,23,0.05,4,random,0,-0.026590287685394287,0.026590287685394287
TCGA-A1-A0SK,development,23,0.05,4,random,1,-0.00647282600402832,0.00647282600402832
TCGA-A1-A0SK,development,23,0.05,4,random,2,-0.022817254066467285,0.022817254066467285
TCGA-A1-A0SK,development,23,0.05,4,random,3,-0.00837552547454834,0.00837552547454834
TCGA-A1-A0SK,development,23,0.05,4,random,4,0.0197446346282959,0.0197446346282959
TCGA-A1-A0SK,development,23,0.05,4,random,5,0.0014070868492126465,0.0014070868492126465
TCGA-A1-A0SK,development,23,0.05,4,random,6,0.00048416852951049805,0.00048416852951049805
TCGA-A1-A0SK,development,23,0.05,4,random,7,0.018173158168792725,0.018173158168792725
TCGA-A1-A0SK,development,23,0.05,4,random,8,0.022265970706939697,0.022265970706939697
TCGA-A1-A0SK,development,23,0.05,4,random,9,-0.0009503364562988281,0.0009503364562988281
TCGA-A1-A0SK,development,23,0.05,4,random,10,0.021029293537139893,0.021029293537139893
TCGA-A1-A0SK,development,23,0.05,4,random,11,0.0022076964378356934,0.0022076964378356934
TCGA-A1-A0SK,development,23,0.05,4,random,12,-0.002893209457397461,0.002893209457397461
TCGA-A1-A0SK,development,23,0.05,4,random,13,-0.013125002384185791,0.013125002384185791
TCGA-A1-A0SK,development,23,0.05,4,random,14,0.012289285659790039,0.012289285659790039
TCGA-A1-A0SK,development,23,0.05,4,random,15,-0.01039808988571167,0.01039808988571167
TCGA-A1-A0SK,development,23,0.05,4,random,16,-0.007824540138244629,0.007824540138244629
TCGA-A1-A0SK,development,23,0.05,4,random,17,-0.007098257541656494,0.007098257541656494
TCGA-A1-A0SK,development,23,0.05,4,random,18,-0.030024826526641846,0.030024826526641846
TCGA-A1-A0SK,development,23,0.05,4,random,19,-0.016948699951171875,0.016948699951171875
TCGA-A1-A0SK,development,23,0.1,7,gnnexplainer,-1,-0.011813700199127197,0.011813700199127197
TCGA-A1-A0SK,development,23,0.1,7,random,0,0.007872521877288818,0.007872521877288818
TCGA-A1-A0SK,development,23,0.1,7,random,1,-0.027420401573181152,0.027420401573181152
TCGA-A1-A0SK,development,23,0.1,7,random,2,-0.0068604350090026855,0.0068604350090026855
TCGA-A1-A0SK,development,23,0.1,7,random,3,-0.01007908582687378,0.01007908582687378
TCGA-A1-A0SK,development,23,0.1,7,random,4,0.00022655725479125977,0.00022655725479125977
TCGA-A1-A0SK,development,23,0.1,7,random,5,-0.0009186267852783203,0.0009186267852783203
