architecture,seed,layer,train_patient,test_patient,train_nodes,test_nodes,mse,shuffled_mse,constant_mse
GCN,11,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.14212849091392807,0.09732342581264675
GCN,11,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.024554783239819765,0.10109722330277585,0.09732342581264675
GCN,11,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.14673505786752858,1.2637441135236964,0.09732342581264675
GCN,11,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.8167902456870512,0.15980170178227127
GCN,11,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.2777098356633139,0.5154148735678592,0.15980170178227127
GCN,11,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.19398511155268172,0.631426702539915,0.15980170178227127
GCN,23,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.14242306056977705,0.09732342581264675
GCN,23,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.045315350460165,0.18800177012365726,0.09732342581264675
GCN,23,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.28039930250225764,0.13288459115543724,0.09732342581264675
GCN,23,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.24143019084830514,0.15980170178227127
GCN,23,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.07244516173269877,0.18619445685370764,0.15980170178227127
GCN,23,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.5050982218976546,0.20395152953686324,0.15980170178227127
GCN,37,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.26966176418968985,0.09732342581264675
GCN,37,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.08862424755345713,0.1424816761981547,0.09732342581264675
GCN,37,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.27878756102227886,0.17247058191198442,0.09732342581264675
GCN,37,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.2703798308445857,0.15980170178227127
GCN,37,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.08918734376391949,0.2264477006584906,0.15980170178227127
GCN,37,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.300868754150966,0.1933278458119536,0.15980170178227127
GCN,53,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.22315922964620377,0.09732342581264675
GCN,53,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.057559245686390405,0.123723103684892,0.09732342581264675
GCN,53,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.2987903514166992,0.11193243459769348,0.09732342581264675
GCN,53,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.3627303610335425,0.15980170178227127
GCN,53,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.2549266999669389,0.2789247991925575,0.15980170178227127
GCN,53,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.2897555103601984,0.14309347517347798,0.15980170178227127
GCN,71,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.13436140738162713,0.09732342581264675
GCN,71,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.019928504409481226,0.10381587282791713,0.09732342581264675
GCN,71,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.14614271278894084,0.11036240492527459,0.09732342581264675
GCN,71,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.3579040818078264,0.15980170178227127
GCN,71,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.0761620304445421,0.18747408930985546,0.15980170178227127
GCN,71,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.1491204757006623,0.17312376716618472,0.15980170178227127
GraphSAGE,11,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.14212849091392807,0.09732342581264675
GraphSAGE,11,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.14484930700794235,0.16407235458423258,0.09732342581264675
GraphSAGE,11,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.5060700125352602,0.14279158647693577,0.09732342581264675
GraphSAGE,11,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.8167902456870512,0.15980170178227127
GraphSAGE,11,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.07615420988425045,0.3317403068544045,0.15980170178227127
GraphSAGE,11,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.5272284179036892,0.22845876627796707,0.15980170178227127
GraphSAGE,23,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.14242306056977705,0.09732342581264675
GraphSAGE,23,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.06394241361719621,0.2927174369756025,0.09732342581264675
GraphSAGE,23,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.22712959977700414,0.11894852854939411,0.09732342581264675
GraphSAGE,23,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.24143019084830514,0.15980170178227127
GraphSAGE,23,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.12570320595959655,0.3642057873662407,0.15980170178227127
GraphSAGE,23,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.27680116612399375,0.4160028259990191,0.15980170178227127
GraphSAGE,37,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.26966176418968985,0.09732342581264675
