image,method,reference_overlap_pixels,reference_instances,predicted_instances,true_positive,false_positive,false_negative,detection_f1,segmentation_quality,panoptic_quality,foreground_dice,iou_threshold_strict
TCGA-2Z-A9J9-01A-01-TS1,hovernet,290,575,648,511,137,64,0.8356500408830744,0.7600514182792396,0.6351369987582852,0.8111156521460396,0.5
TCGA-2Z-A9J9-01A-01-TS1,watershed,290,575,1659,375,1284,200,0.3357206803939123,0.6913866692928516,0.23211280303027698,0.7521056965084314,0.5
TCGA-44-2665-01B-06-BS6,hovernet,2981,818,852,751,101,67,0.8994011976047904,0.7973307482235297,0.7171202298393663,0.8716132413167721,0.5
TCGA-44-2665-01B-06-BS6,watershed,2981,818,2354,450,1904,368,0.2837326607818411,0.7341099253443639,0.2082909624243151,0.7551368257946035,0.5
TCGA-69-7764-01A-01-TS1,hovernet,1614,441,575,414,161,27,0.8149606299212598,0.7847268931148146,0.6395215231290025,0.8224896569510274,0.5
TCGA-69-7764-01A-01-TS1,watershed,1614,441,1772,287,1485,154,0.2593764121102576,0.7244017162074768,0.18789271807640837,0.763483261795358,0.5
TCGA-A6-6782-01A-01-BS1,hovernet,683,441,486,369,117,72,0.7961165048543689,0.7487691526507866,0.5961074807511116,0.8071045525866244,0.5
TCGA-A6-6782-01A-01-BS1,watershed,683,441,1964,266,1698,175,0.22120582120582122,0.6995082646867813,0.1547353001302984,0.7260083230821577,0.5
TCGA-AC-A2FO-01A-01-TS1,hovernet,53,521,535,420,115,101,0.7954545454545454,0.72344708352757,0.5754692709878398,0.7702932405664951,0.5
TCGA-AC-A2FO-01A-01-TS1,watershed,53,521,2555,320,2235,201,0.20806241872561768,0.6763971010620521,0.14073281686596664,0.7130013371207333,0.5
TCGA-AO-A0J2-01A-01-BSA,hovernet,113,356,354,274,80,82,0.7718309859154929,0.7644615354761908,0.5900351006210599,0.7930720817107981,0.5
TCGA-AO-A0J2-01A-01-BSA,watershed,113,356,1739,212,1527,144,0.20238663484486874,0.6800523002179928,0.13763349655963195,0.7075657271948375,0.5
TCGA-CU-A0YN-01A-02-BSB,hovernet,724,677,751,606,145,71,0.8487394957983193,0.7752424876301599,0.6579789180726567,0.8145388102337107,0.5
TCGA-CU-A0YN-01A-02-BSB,watershed,724,677,2210,509,1701,168,0.35261517145826116,0.7180233818827976,0.2531859379136432,0.7489792669210582,0.5
TCGA-EJ-A46H-01A-03-TSC,hovernet,131,466,496,422,74,44,0.8773388773388774,0.7832859295851011,0.6872071980975315,0.8384917132213389,0.5
TCGA-EJ-A46H-01A-03-TSC,watershed,131,466,1569,350,1219,116,0.343980343980344,0.7026994068104941,0.24171478366945745,0.7427373926705215,0.5
TCGA-FG-A4MU-01B-01-TS1,hovernet,1259,465,493,399,94,66,0.8329853862212944,0.7814198675826871,0.6509113301993573,0.8615955649670466,0.5
TCGA-FG-A4MU-01B-01-TS1,watershed,1259,465,1159,347,812,118,0.4273399014778325,0.7083889651871501,0.30272287059106046,0.8287667389659716,0.5
TCGA-GL-6846-01A-01-BS1,hovernet,839,355,402,329,73,26,0.869220607661823,0.7964864884285532,0.6923224694662985,0.8449305821342161,0.5
TCGA-GL-6846-01A-01-BS1,watershed,839,355,2491,226,2265,129,0.15881939564300773,0.7206512366536135,0.11445339387471304,0.7626618271316432,0.5
TCGA-HC-7209-01A-01-TS1,hovernet,479,325,367,298,69,27,0.861271676300578,0.772100972745054,0.6649886990694396,0.8512453448938287,0.5
TCGA-HC-7209-01A-01-TS1,watershed,479,325,1712,206,1506,119,0.20225822287677958,0.7189484728056125,0.14541324044963788,0.7543099550301307,0.5
TCGA-HT-8564-01Z-00-DX1,hovernet,13,249,249,218,31,31,0.8755020080321285,0.7441537957747112,0.6515081424854902,0.825972436145074,0.5
TCGA-HT-8564-01Z-00-DX1,watershed,13,249,955,129,826,120,0.21428571428571427,0.672253656355066,0.14405435493322843,0.7720481627180652,0.5
TCGA-IZ-8196-01A-01-BS1,hovernet,434,533,575,500,75,33,0.9025270758122743,0.7933402295901341,0.7160110375362221,0.852799841904566,0.5
TCGA-IZ-8196-01A-01-BS1,watershed,434,533,1864,387,1477,146,0.32290362953692114,0.7351943221985143,0.23739691505283692,0.798175233449088,0.5
TCGA-ZF-A9R5-01A-01-TS1,hovernet,92,475,470,431,39,44,0.9121693121693122,0.7922777456052009,0.7226914462557494,0.8740865821160118,0.5
TCGA-ZF-A9R5-01A-01-TS1,watershed,92,475,1062,380,682,95,0.494469746258946,0.7327302884322324,0.36231295979733025,0.8378985732621351,0.5
