stage,analysis,record_type,dataset,model,seed,concept,layer,probe_metric,probe_value,tcav_value,target_effect,control_effect,gcia_excess,ci_low,ci_high,intervention_valid,interpretation,budget,concept_shift,control_budget,control_ci_high,control_ci_low,control_concept_shift,encoded,invalid_reason,metric,n_graphs,n_groups,patient_id,permutation_p,sample_id,target_ci_high,target_ci_low,valid_fraction,value
synthetic,classification,aggregate,synthetic,DeepSets,11,,,,,,,,,,,,,,,,,,,,,accuracy,256,32,,,,,,,0.703125
synthetic,classification,aggregate,synthetic,DeepSets,11,,,,,,,,,,,,,,,,,,,,,balanced_accuracy,256,32,,,,,,,0.5760233918128654
synthetic,classification,aggregate,synthetic,DeepSets,11,,,,,,,,,,,,,,,,,,,,,auroc,256,32,,,,,,,0.7207602339181285
synthetic,sanity_check,aggregate,synthetic,DeepSets,11,,,,,,,,,,,,,,,,,,,,,randomized_model_accuracy,,,,,,,,,0.296875
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,0,auroc,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,0,balanced_accuracy,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,sanity_check,aggregate,synthetic,DeepSets,11,C_used,0,,,,,,,,,,,,,,,,,,,shuffled_concept_probe_auroc,,,,0.01,,,,,0.4908459595959596
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,1,auroc,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,1,balanced_accuracy,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,sanity_check,aggregate,synthetic,DeepSets,11,C_used,1,,,,,,,,,,,,,,,,,,,shuffled_concept_probe_auroc,,,,0.01,,,,,0.49993095012626265
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,2,auroc,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,2,balanced_accuracy,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,sanity_check,aggregate,synthetic,DeepSets,11,C_used,2,,,,,,,,,,,,,,,,,,,shuffled_concept_probe_auroc,,,,0.01,,,,,0.4989050662878788
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,3,auroc,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,probe,aggregate,synthetic,DeepSets,11,C_used,3,balanced_accuracy,1.0,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
synthetic,sanity_check,aggregate,synthetic,DeepSets,11,C_used,3,,,,,,,,,,,,,,,,,,,shuffled_concept_probe_auroc,,,,0.01,,,,,0.49656230271464646
synthetic,tcav,aggregate,synthetic,DeepSets,11,C_used,3,auroc,1.0,1.0,,,,,,,,,,,,,,True,,,,,,0.01,,,,,
synthetic,gcia,aggregate,synthetic,DeepSets,11,C_used,3,auroc,1.0,1.0,0.37910605990327895,0.3726877683366183,0.006418291653972119,-0.0014959772393922318,0.01357064925250597,True,inconclusive,6.928203105926514,2.0,6.928203105926514,0.3820347537461203,0.36258032647238,1.0593794539520696e-08,True,,,256,32,,0.01,,0.39203007210162466,0.364607422152767,1.0,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.42985203862190247,0.2737840414047241,0.15606799721717834,,,True,,6.928203105926514,2.0,6.928203105926514,,,3.973643103449831e-08,,,,,,test_0,,test_0_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.42985203862190247,0.2720259726047516,0.15782606601715088,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_0,,test_0_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4180819094181061,0.17926016449928284,0.23882174491882324,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_0,,test_0_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4180819094181061,0.24579046666622162,0.17229144275188446,,,True,,6.928203105926514,2.0,6.928203105926514,,,3.973643103449831e-08,,,,,,test_0,,test_0_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.42985203862190247,0.5668500065803528,-0.13699796795845032,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_0,,test_0_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.42985203862190247,0.6270344257354736,-0.19718238711357117,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_0,,test_0_101,,,,
