architecture,seed,sample,concept,total_variation,erasure_tv
DeepSets,11,test_0,used,0.9997602105140686,0.05983864143490791
DeepSets,11,test_1,used,0.9997602105140686,0.14484310150146484
DeepSets,11,test_2,used,0.9997602105140686,0.14484302699565887
DeepSets,11,test_3,used,0.9997602105140686,0.14484310150146484
DeepSets,11,test_4,used,0.9997602105140686,0.1448429822921753
DeepSets,11,test_5,used,0.9997650384902954,0.06297873705625534
DeepSets,11,test_6,used,0.9997602105140686,0.05983874574303627
DeepSets,11,test_7,used,0.9997650384902954,0.06297879666090012
DeepSets,11,test_8,used,0.9997602105140686,0.05983864143490791
DeepSets,11,test_9,used,0.9997602105140686,0.05983874574303627
DeepSets,11,test_10,used,0.9997650384902954,0.14123673737049103
DeepSets,11,test_11,used,0.9997650384902954,0.06297873705625534
DeepSets,11,test_12,used,0.9997650384902954,0.06297879666090012
DeepSets,11,test_13,used,0.9997650384902954,0.06297879666090012
DeepSets,11,test_14,used,0.9997602105140686,0.14484313130378723
DeepSets,11,test_15,used,0.9997650384902954,0.14123684167861938
DeepSets,11,test_16,used,0.9997650384902954,0.06297879666090012
DeepSets,11,test_17,used,0.9997650384902954,0.06297879666090012
DeepSets,11,test_18,used,0.9997602105140686,0.05983864143490791
DeepSets,11,test_19,used,0.9997650384902954,0.1412370502948761
DeepSets,11,test_20,used,0.9997602105140686,0.14484310150146484
DeepSets,11,test_21,used,0.9997650384902954,0.14123684167861938
DeepSets,11,test_22,used,0.9997650384902954,0.14123675227165222
DeepSets,11,test_23,used,0.9997602105140686,0.1448432207107544
DeepSets,11,test_24,used,0.9997602105140686,0.059838686138391495
DeepSets,11,test_25,used,0.9997602105140686,0.059838686138391495
DeepSets,11,test_26,used,0.9997650384902954,0.06297873705625534
DeepSets,11,test_27,used,0.9997602105140686,0.05983874574303627
DeepSets,11,test_28,used,0.9997650384902954,0.14123691618442535
DeepSets,11,test_29,used,0.9997602105140686,0.14484310150146484
DeepSets,11,test_30,used,0.9997650384902954,0.06297879666090012
DeepSets,11,test_31,used,0.9997650384902954,0.06297873705625534
DeepSets,11,test_32,used,0.9997650384902954,0.14123693108558655
DeepSets,11,test_33,used,0.9997650384902954,0.06297873705625534
DeepSets,11,test_34,used,0.9997602105140686,0.05983874574303627
DeepSets,11,test_35,used,0.9997650384902954,0.06297873705625534
DeepSets,11,test_36,used,0.9997602105140686,0.1448432207107544
DeepSets,11,test_37,used,0.9997602105140686,0.05983864143490791
DeepSets,11,test_38,used,0.9997602105140686,0.14484310150146484
DeepSets,11,test_39,used,0.9997602105140686,0.14484310150146484
DeepSets,11,test_40,used,0.9997650384902954,0.06297867745161057
